script,output_file,file_type,tabular,column_descriptions
subgen_definition5_lineage_ci.py,<name>_pergene_all.tsv,TSV,yes,gene_id | cistron_id | protein_id | n_lineages | mean | std | se | ci_lower | ci_upper | category  -- def5_CI over ALL lineages. One row per gene. Full float precision (the def5 table writes the same quantities at %.6g).
subgen_definition5_lineage_ci.py,<name>_pergene_successful.tsv,TSV,yes,"Same columns as _pergene_all.tsv but computed over strict-successful lineages only. This is the file the standalone CLIs historically took as `pergene`; it and subgenerational_expression_table_def5.tsv agree gene-for-gene on all 4309 genes, and sc.load_def5_categories() reads either."
subgen_definition5_lineage_ci.py,<name>_lineage_by_gene.tsv,TSV,yes,"gene_id | cistron_id | then one column per lineage (seed_XXXXXX) = lambda(s,g), that lineage's mean completed transcripts/gen for the gene."
subgen_definition5_lineage_ci.py,<name>_doubling_times.tsv,TSV,yes,seed | gen_0 ... gen_{G-1} = doubling time in minutes for each generation (-1 if the generation did not run / could not be read). Same layout as the raw extract's copy.
subgen_definition5_lineage_ci.py,<name>_lineage_filter.tsv,TSV,yes,seed | n_gens_ran | reached_final_gen | max_doubling_min | n_cells_at_180 | completed_all_gens | passed_180_filter | in_successful | reason (human-readable exclusion reason).
subgen_definition5_lineage_ci.py,<name>_hist_all.png / _hist_successful.png / _all_vs_successful.png / _forest_overlap1.png / _ranked_ci.png,image (figures),no,"Diagnostic plots of the def5_CI classification: category histograms (all vs successful lineages), all-vs-successful comparison, forest plot of the per-gene CIs that straddle 1 (the possibly_subgen set), and a CI-ranked plot. Written with fig.savefig directly rather than exportFigure, so they land in the top-level plotOut rather than low_res_plots/."
subgen_definition5_lineage_ci.py,<name>_run_metadata.json,JSON,no,"Shared sc.write_run_metadata layout + parameters (CI_Z, ci_confidence, ignore_first_n_gens, max_doubling_min, definition5_available) + lineages (n_all, n_successful, both seed lists) + per-category counts for all and successful lineages."
subgen_definition5_lineage_ci.py,(stdout only),log,no,"Cross-check line: 'Cross-check vs subgen_raw_extract.py over N shared genes: max |mean difference| = X, category disagreements = K'. K > 0 prints a loud warning -- the two INDEPENDENT Definition-5 reductions disagree and one is wrong. On sim set 1: max difference 0, disagreements 0."
subgen_expression_definitions.py,<name>.tsv,TSV,yes,gene_name | cistron_name | protein_name | p_present_def1 | p_any_init_def2 | mean_init_events_def3 | p_any_synth_def4 | mean_synth_events_def5 | max_mRNA_count | mean_mRNA_count | max_protein_count | mean_protein_count. One row per gene. Means are per-timestep.
subgen_expression_definitions.py,<name>_definition_summary.tsv,TSV,yes,"definition | n_genes_total | n_never | n_subgen@1 | n_subgen@0.99 | n_subgen@0.95  (subgen count = # genes with 0<value<threshold). One row per definition -- these are a COMPARISON of candidate definitions, not the classifier. PLUS two NEW rows carrying the canonical rule: 'def5_CI (CANONICAL: CI entirely below 1)' and 'def5_CI possibly_subgen (CI includes 1)', read free from the raw extraction when present (threshold columns show '-', since a CI rule has one answer, not a sweep). Set 1 at threshold 1: def1 4173, def2 4174, def3 1889, def4 4174, def5 1897; def5_CI 1859 subgen + 52 possibly. The count-based definitions (3/5) stay at ~1875-1897 across all three variant dirs while the presence/any-event ones (1/2/4) swing by ~1000 genes -- the strongest argument for def5 as canonical."
subgen_expression_definitions.py,<name>_near_ubiquitous_absences.tsv,TSV,yes,gene_name | cistron_name | protein_name | p_present_def1 | n_absent_cells | absent_cell_path  (genes present in almost all cells but absent in 1..MAX_ABSENT_CELLS_TO_REPORT; one row per gene-cell absence). Sorted by cell path so a single unhealthy cell recurring across many genes is visible. Consumed by subgen_cell_health_metrics.py.
subgen_expression_definitions.py,<name>_run_metadata.json,JSON,no,"Provenance + parameters (thresholds, ignore_first_n_gens, require_complete_lineage, synth availability) + included/skipped cells (hence the large file size)."
subgen_expression_definitions_complete.py,<name>.tsv / _definition_summary.tsv / _near_ubiquitous_absences.tsv / _run_metadata.json,TSV + JSON,yes,"Identical columns to subgen_expression_definitions.py; only the cell set differs (complete-lineage subset: seeds whose last successful generation equals the final generation -- NO 180-min-cap check, so this is weaker than the strict filter). Set 1's near_ubiquitous_absences grows from 332 to 5015 rows: with dying lineages removed, many more genes land in the 'absent in only a few cells' band."
subgen_cell_health_metrics.py,<name>.tsv,TSV,yes,"One row per cell-generation: cell_path | seed | generation | doubling_time_min | mean_growth_rate | mean_cell_mass_fg | final_cell_mass_fg | mean_dry_mass_fg | mean_active_rnap | mean_active_ribosome | mean_ppgpp_conc | n_near_ubiquitous_absences (joined from subgen_expression_definitions_near_ubiquitous_absences.tsv when present)."
subgen_cell_health_metrics.py,<name>_metric_summary.tsv,TSV,yes,Per metric: distributional summary across all cells (count / mean / std / min / percentiles / max).
subgen_cell_health_metrics.py,<name>_flagged_summary.tsv,TSV,yes,"Only the cells with n_near_ubiquitous_absences > 0, i.e. cells that account for gene absences elsewhere. Written only when the absence report is present."
subgen_cell_health_metrics.py,<name>_lineage_completeness.tsv,TSV,yes,Per seed: whether its last successful generation equals the final generation (the WEAK completeness rule; the strict flags live in subgen_raw_extract_lineage_success.tsv).
subgen_cell_health_metrics.py,<name>_run_metadata.json,JSON,no,Provenance + parameters + the absence-report source path.
subgen_peak_counts.py,<name>_count_transcipt_peaks.tsv,TSV,yes,"cell_id (cell path) | then one column per curated monomer id = onset count for that gene in that cell (number of 0->>0 mRNA appearances). One row per cell. Gene panel = sc.CURATED_PANELS['curated10'] (10 genes). NOTE the historical typo 'transcipt' in the suffix, kept so existing Sherlock outputs stay findable."
transcription_prob_subgen.py,<name>.tsv,TSV,yes,"mRNA_cistron_id | actual_rna_synth_prob (time-averaged FRACTIONAL synthesis probability -- actual_rna_synth_prob_per_cistron is normalized to sum to 1 per timestep, so this is not an absolute rate; per-timestep denominator) | prob_mRNA_exists_in_gen (fraction of generations with mRNA present, per-cell denominator). One row per mRNA cistron (4345)."
extract_subgen_monomer_counts.py,<name>_mean_counts.tsv,TSV,yes,"gene_name | cistron_name | monomer_name | mean_mRNA_count | mean_protein_count (time-averaged per-timestep means: (Sum_cells Sum_t count)/total_timesteps). One row per monomer (4309).  RENAMED from <name>_40_seeds_last_11_gens.tsv, a label that was never true -- the script uses sc.SEED_RANGE (128 seeds) gated to the strict-successful lineages, over generations 8..n_generation. Existing Sherlock outputs still carry the old suffix."
molar_mass_monomers.py,<name>_mean_counts.tsv,TSV,yes,"gene_name | cistron_name | monomer_name | mean_mRNA_count | mean_protein_count. Same quantity as extract_subgen_monomer_counts.py (this script is that one with the classification mask removed). DESPITE THE MODULE NAME IT CONTAINS NO MOLAR MASSES -- those are in subsample_cell_monomer_mass_monomer_mws.tsv.  RENAMED from the false <name>_40_seeds_last_11_gens.tsv."
subsampl_mrna_protein_10k.py,<name>.tsv,TSV,yes,"seed | time_step | generation_start_time | then one column per gene (mRNA_cistron_counts) | then one column per partial-rRNA cistron | then one column per amino acid (charged + uncharged tRNA collapsed by sc.collapse_trna_to_aa). One row per subsampled timepoint. ROW COUNT CHANGES with the SAMPLE_PER_SEED fix: set 1 7410 -> 9975, set 2 v0 3042 -> 9984, v1 4056 -> 9984. Old files are not comparable across sets or variants."
subsampl_mrna_protein_10k.py,<name>corresponding_monomers.tsv,TSV,yes,seed | time_step | generation_start_time | then one column per monomer (monomerCounts). Same subsampled timepoints as <name>.tsv. (Note the missing leading underscore in the suffix.)
subsampl_mrna_protein_10k.py,<name>_run_metadata.json,JSON,no,"NEW (these scripts wrote no provenance): shared layout + parameters (ignore_first_n_gens, max_doubling_min, timepoints_to_sample, sample_per_seed, numpy_seed) + lineages (n_successful, successful_seeds) + timepoints (n_sampled). Makes the row count traceable to a lineage count -- exactly what was needed to spot the old /128 bug."
subsample_timepoints_for_scRNAseq_comp.py,<name>.tsv,TSV,yes,"Identical columns to subsampl_mrna_protein_10k.tsv, and with the same RNG seed BYTE-IDENTICAL to it (130,529,573 B in set 1; also matching in set 2 v0/v1). Same row-count change from the SAMPLE_PER_SEED fix."
subsample_timepoints_for_scRNAseq_comp.py,<name>_run_metadata.json,JSON,no,As for subsampl_mrna_protein_10k.py.
subsample_cell_monomer_mass.py,<name>_monomer_counts_dry_mass.tsv,TSV,yes,"seed | time_step | generation | generation_start_time | dry_mass_fg (dry cell mass in femtograms, from Mass/dryMass) | then one column per monomer (monomerCounts). One row per subsampled timepoint. Same row-count change from the SAMPLE_PER_SEED fix."
subsample_cell_monomer_mass.py,<name>_monomer_mws.tsv,TSV,yes,monomer_id | mw_g_per_mol (from sim_data.process.translation.monomer_data['mw']). Same monomer column order as the counts file. One row per monomer. This is the repo's only molecular-weight export.
subsample_cell_monomer_mass.py,<name>_run_metadata.json,JSON,no,As for subsampl_mrna_protein_10k.py.
subgen_monomer_dynamics.py,<name>_monomer_dynamics_seed<SSSSSS>_<color>.pdf,image (figure),no,"Per-generation normalized monomer-count traces for the curated anaerobic-respiration panel (sc.CURATED_PANELS['anaerobic'], 18 monomers); one panel per gene. One file per plotted seed.  RENAMED from _dynamics_gen_<seed>_<color>.pdf: the infix was always a SEED, not a generation. Generation-boundary axvlines were removed (they were drawn in minutes on a generation-number axis); the integer x ticks are the boundaries."
subgen_monomer_dynamics.py,<name>_mRNA_dynamics_seed<SSSSSS>_<color>.pdf,image (figure),no,Same as the monomer figure but mRNA traces. One file per plotted seed.
protein_distribution.py,<name>_new_monomers_per_gen.tsv,TSV,yes,"cell_id (cell path) | then one column per curated monomer = monomerCounts[last] - monomerCounts[first] for that generation. One row per cell-generation. This is a NET quantity (synthesis minus degradation) and CAN BE NEGATIVE; under balanced growth it is close to the inherited count, i.e. about half the final count -- it is NOT gross synthesis. Gene panel = sc.CURATED_PANELS['curated10']."
subgen_set_uniqueness.py,<name>_count_hist.png / _jaccard.png / _gene_freq.png / _accumulation.png / _pca.png / _within_between_lineage.png,image (figures),no,"Per-cell count distribution vs the Poisson-binomial expectation; pairwise Jaccard vs an analytic independence null and a fixed-margins (curveball) null; gene frequency distribution; population accumulation curve; PCA of the cell x gene matrix; and within- vs between-lineage Jaccard (written only when per-cell seeds are parseable). Gene set = category == subgen from the per-gene def-5 table."
subgen_set_uniqueness.py,<name>_summary.json,JSON,no,"Numeric results behind the figures: per-cell count mean/SD, distinct-set count, mean observed Jaccard and both null means, PCA explained variance, accumulation-curve values, and the gene/cell counts used."
subgen_set_uniqueness_publication_figures.py,count_distribution.{pdf/png/svg} / jaccard.{pdf/png/svg} / fig3B_heatmap_bw_<N>cells.{pdf/png/svg} / fig3B_heatmap_color_<N>cells.{pdf/png/svg},image (figures),no,"Publication-ready 'clean' Figure-3 panels in one visual style, editable-text so they resize in Illustrator. NOTE these basenames are NOT subgen_-prefixed, unlike every other output in this family."
subgen_operon_membership.py,subgen_operon_membership_summary.tsv,TSV,yes,"Counts and fractions of subgen genes that are monocistronic vs in a polycistronic TU (>=2 cistrons), i.e. how often subgen genes are co-transcribed. Fixed output prefix (not plotOutFileName -- this is a standalone CLI)."
subgen_operon_membership.py,subgen_operon_membership_per_gene.tsv,TSV,yes,One row per subgen cistron: its TU membership(s) and whether any is polycistronic.
subgen_operon_membership.py,subgen_operon_membership_operons.tsv,TSV,yes,One row per operon (polycistronic TU) containing at least one subgen cistron: the TU id and its member cistrons.
subgen_operon_membership.py,subgen_operon_membership_run_metadata.json,JSON,no,Provenance + the input table paths and --category.
subgen_operon_unit_jaccard.py,subgen_operon_unit_jaccard_summary.tsv,TSV,yes,"Mean pairwise cell-to-cell Jaccard with its independence and fixed-margins nulls, computed at the cistron level and at the operon-unit level side by side (co-transcribed subgen cistrons collapsed into connected components over shared TUs). If operons were inflating cell-to-cell similarity, collapsing them would pull the observed Jaccard toward its null."
subgen_operon_unit_jaccard.py,subgen_operon_unit_jaccard_run_metadata.json,JSON,no,Provenance + input paths + --n-null and --seed.
subgen_protein_memory.py,subgen_protein_memory_pergene.tsv,TSV,yes,"One row per subgen gene: gene_id | transcript_off_freq_mean (+ CI) | protein_zero_frac_mean (+ CI) | def5_rate_mean (+ CI). All three are per-lineage rates aggregated across lineages with a 95% CI (CI_Z = 1.96), so they scale honestly with more seeds. The CIs here are ERROR BARS on the plotted axes -- the gene set itself came from category == subgen."
subgen_protein_memory.py,subgen_protein_memory_vs_transcript_off.{pdf/png/svg} / _vs_def5_rate.{pdf/png/svg} / _binned.{pdf/png/svg},image (figures),no,"Protein-absence rate against transcript-off frequency and against the def-5 rate, plus a binned summary. The y = x line separates genes showing protein memory (below) from genes whose protein is absent MORE than the gene is transcriptionally off (above)."
subgen_protein_memory.py,subgen_protein_memory_run_metadata.json,JSON,no,Provenance + input paths + --category and --error-bars.
subgen_protein_memory_interactive.py,subgen_protein_memory_interactive_pergene.tsv,TSV,yes,The protein-memory per-gene table joined to each protein's translation efficiency and degradation rate / half-life from sim_data.
subgen_protein_memory_interactive.py,subgen_protein_memory_interactive_outlier_analysis.json,JSON,no,"Outlier analysis, especially genes ABOVE the y = x line (the opposite of protein memory), testing whether short protein half-life and/or low translation efficiency explains them."
subgen_protein_memory_interactive.py,subgen_protein_memory_interactive.html,HTML,no,"Self-contained interactive scatter: hover a point for its gene name, transcript-off frequency, protein-absence rate, def-5 rate, translation efficiency and half-life; optional color-by half-life / translation efficiency."
subgenerational_expression_table.py,<name>.tsv,TSV,yes,"LEGACY. gene_name | cistron_name | protein_name | p_expressed | max_mRNA_count | max_protein_count -- the SUBGEN SUBSET ONLY, by the presence rule 0 < p_expressed < 1 (no CI). Set 2 row counts: condition_000000 3685 x 6, condition_000001 3194 x 6. NOT comparable to the 1859-gene def5_CI list. p_expressed also carries a denominator bug (unreadable cells are not subtracted from n_cells). Superseded by p_mrna_present_def1 in the def5 table."
id_subgen_monomers.py,<name>.tsv,TSV,yes,"LEGACY. gene_name | cistron_name | monomer_name | prob_monomer_expressed -- PROTEIN-presence frequency, no CI. The computed subgen/never_expressed classification is never written. Superseded by the def5 table's monomer_name column."
subgenerationalTranscription.py,figure5B__top.pdf / figure5B__bottom.pdf / figure5E.pdf / figure5F.pdf / figure5G.pdf,image (figures),no,"LEGACY. Presence-frequency colouring (freq==1 / freq==0 / else), seed 0 only, no burn-in. Filenames are HARDCODED (plotOutFileName is ignored), so figures cannot be seed-disambiguated. __clean and _v2 variants appear only when PLOT_GENES_OF_INTEREST / PLOT_DENOMINATOR_N_EACH_FREQ_GROUP are enabled. Superseded by subgenerationalTranscription_def5.py."
transcriptFrequency.py,(none),n/a,no,"LEGACY and DISABLED -- do_plot returns immediately, so nothing is written. Set 2's launcher invoked it and the job 'succeeded' in 5.4 s with no output."
proteinFoldChangeVsTranscriptionFrequency.py,(none),n/a,no,"LEGACY and DISABLED -- do_plot returns immediately. If revived, note the `> 1` presence off-by-one shared with four multigen protein* scripts."
